id_exp,seed,step,network_topology,population_size,nb_strg_arg,adding_cycle,population_with_added_arg,population_with_attacked_arg,polarisation,mean_intention,rate_adoption
1,0.8048544387114978,350,regular,100,1,50,100,0,0.033551675505210245,0.15310729566923872,0.28
0,0.9880052132703782,400,regular,100,1,50,100,0,0.026189816856796264,0.16881899547616605,0.28
3,0.06616203447008939,400,regular,100,1,50,0,78,0.03557590124442564,0.26673346667900677,0.32
2,0.2507461296201259,400,regular,100,1,50,1,68,0.030787373296438218,0.25654963783564677,0.3
1,0.8048544387114978,400,regular,100,1,50,100,0,0.0342874551769283,0.15210702560897135,0.28
0,0.9880052132703782,450,regular,100,1,50,100,0,0.02616803679640663,0.16796430360145068,0.28
2,0.2507461296201259,450,regular,100,1,50,1,74,0.03235680005111848,0.2552414322938881,0.3
3,0.06616203447008939,450,regular,100,1,50,0,76,0.036112580992787725,0.27322943978860664,0.33
1,0.8048544387114978,450,regular,100,1,50,100,0,0.03204078243139731,0.1523702468087206,0.28
3,0.06616203447008939,500,regular,100,1,50,0,76,0.03663464464815,0.27079525726953746,0.33
1,0.8048544387114978,500,regular,100,1,50,100,0,0.03240871816211128,0.1523482905939198,0.28
2,0.2507461296201259,500,regular,100,1,50,1,76,0.0307674631769846,0.2542282209048199,0.3
0,0.9880052132703782,500,regular,100,1,50,100,0,0.025824194008457053,0.16936295258371137,0.28
2,0.2507461296201259,550,regular,100,1,50,1,71,0.029851202444310505,0.25598557749675055,0.3
0,0.9880052132703782,550,regular,100,1,50,100,0,0.02641571968083555,0.17042249934073642,0.28
1,0.8048544387114978,550,regular,100,1,50,100,0,0.03187136540632247,0.154978404053147,0.28
3,0.06616203447008939,550,regular,100,1,50,0,80,0.035980412436255986,0.27474764919471023,0.33
0,0.9880052132703782,600,regular,100,1,50,100,0,0.02689127582129148,0.17019621758197162,0.28
3,0.06616203447008939,600,regular,100,1,50,0,85,0.03762647024236469,0.27391505109717407,0.34
1,0.8048544387114978,600,regular,100,1,50,100,0,0.03195812354655119,0.15504638619875089,0.28
2,0.2507461296201259,600,regular,100,1,50,1,71,0.030450698056535785,0.2578668790954712,0.3
1,0.8048544387114978,650,regular,100,1,50,100,0,0.03401860715115907,0.15316820253622834,0.28
3,0.06616203447008939,650,regular,100,1,50,0,83,0.036824805814275004,0.272398806535147,0.34
2,0.2507461296201259,650,regular,100,1,50,1,71,0.03029883599255164,0.25677578815619456,0.3
0,0.9880052132703782,650,regular,100,1,50,100,0,0.026053172896643044,0.1678482845424897,0.28
3,0.06616203447008939,700,regular,100,1,50,0,76,0.037096614814342725,0.272155408036658,0.34
2,0.2507461296201259,700,regular,100,1,50,1,71,0.031333155348312235,0.2542205614960932,0.3
0,0.9880052132703782,700,regular,100,1,50,100,0,0.02707855529034428,0.16888811945883928,0.28
1,0.8048544387114978,700,regular,100,1,50,100,0,0.03231053971174688,0.1538504448538596,0.28
1,0.8048544387114978,750,regular,100,1,50,100,0,0.032085168774071304,0.153150672547972,0.28
2,0.2507461296201259,750,regular,100,1,50,1,71,0.031604722686658135,0.25547065953555415,0.3
0,0.9880052132703782,750,regular,100,1,50,100,0,0.02720938266252225,0.16895734609325921,0.28
3,0.06616203447008939,750,regular,100,1,50,0,76,0.03789180403166098,0.2721664104402214,0.34
2,0.2507461296201259,800,regular,100,1,50,1,71,0.03170265079694456,0.25736631372469154,0.3
0,0.9880052132703782,800,regular,100,1,50,100,0,0.026997330111985414,0.16962640972697834,0.28
1,0.8048544387114978,800,regular,100,1,50,100,0,0.033147295109891534,0.15133094392166893,0.28
3,0.06616203447008939,800,regular,100,1,50,0,77,0.03666383660061897,0.2718777569924075,0.34
3,0.06616203447008939,850,regular,100,1,50,0,82,0.03677585077295023,0.27583442333499986,0.35
2,0.2507461296201259,850,regular,100,1,50,1,71,0.030920029510427494,0.257370416301513,0.3
1,0.8048544387114978,850,regular,100,1,50,100,0,0.03205989500917922,0.15330853042154793,0.28
0,0.9880052132703782,850,regular,100,1,50,100,0,0.026952316726553197,0.1679097996659378,0.28
2,0.2507461296201259,900,regular,100,1,50,1,71,0.03166108000123569,0.25432989478710943,0.3
0,0.9880052132703782,900,regular,100,1,50,100,0,0.02698020882881477,0.1680573156169554,0.28
1,0.8048544387114978,900,regular,100,1,50,100,0,0.03344649487016087,0.15205004413855505,0.28
3,0.06616203447008939,900,regular,100,1,50,0,72,0.036487864973072916,0.2742098296150399,0.36
0,0.9880052132703782,950,regular,100,1,50,100,0,0.026784012417079176,0.1659113894615925,0.28
3,0.06616203447008939,950,regular,100,1,50,0,78,0.03707034228998448,0.27584276729063434,0.36
2,0.2507461296201259,950,regular,100,1,50,1,71,0.030128039557085286,0.2587753778420793,0.3
1,0.8048544387114978,950,regular,100,1,50,100,0,0.03382105909349611,0.1502773206825573,0.28
4,0.5021955782306821,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
7,0.9735700710045174,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
6,0.6359738715854387,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
5,0.12102242956410414,0,regular,100,1,50,0,14,0.06379049039791855,0.17388897606397397,0.0
6,0.6359738715854387,50,regular,100,1,50,1,71,0.027662059234435668,0.31462238663237446,0.29
4,0.5021955782306821,50,regular,100,1,50,1,74,0.028589745395367506,0.2885864026190241,0.25
7,0.9735700710045174,50,regular,100,1,50,1,80,0.030953915426914815,0.2313928448628202,0.24
5,0.12102242956410414,50,regular,100,1,50,1,64,0.02764534645523128,0.2863465664926325,0.24
7,0.9735700710045174,100,regular,100,1,50,97,3,0.030489540805246445,0.16117065192997418,0.24
5,0.12102242956410414,100,regular,100,1,50,1,77,0.029479620743514425,0.3165337851918065,0.26
6,0.6359738715854387,100,regular,100,1,50,100,2,0.023845845829581002,0.24158666785331054,0.31
4,0.5021955782306821,100,regular,100,1,50,100,0,0.02912688365363151,0.20569328633128875,0.26
7,0.9735700710045174,150,regular,100,1,50,97,3,0.03266295508946311,0.1687477032032394,0.24
