id_exp,seed,step,polarisation,mean_intention,mean_intention_acceptabilty,rate_adoption
1,0.023093164808932864,0,0.045466347808092146,0.26091359119155805,0.17647361308672982,0.0
3,0.02908442372800235,0,0.05553472835806832,0.2934846186349573,0.18275192603156878,0.0
0,0.8344957997478795,0,0.05471199490960891,0.19992349612067126,0.096985186499163,0.0
2,0.2814307910701278,0,0.06703140264853083,0.24928952939262858,0.1485702587364446,0.0
3,0.02908442372800235,50,0.009610125328475067,0.5096100231878727,0.3636872612204857,0.5166666666666667
0,0.8344957997478795,50,0.011333144617656173,0.424205829399339,0.2687360726910472,0.18333333333333332
1,0.023093164808932864,50,0.014390943102643917,0.4003329645570881,0.29473682613662594,0.3333333333333333
2,0.2814307910701278,50,0.011969070039305377,0.4895952859868407,0.33915456117563536,0.5
2,0.2814307910701278,100,0.011670109448648418,0.4741852461296045,0.3337904139393079,0.5666666666666667
3,0.02908442372800235,100,0.014022040066875671,0.5092918153809888,0.3764230597005584,0.65
0,0.8344957997478795,100,0.007743948916116816,0.4583876517235831,0.3143553511422526,0.3333333333333333
1,0.023093164808932864,100,0.009118038197836669,0.38952622121584046,0.2979108055237065,0.36666666666666664
3,0.02908442372800235,150,0.009713294189629382,0.5193047390538746,0.36877183294887383,0.7
2,0.2814307910701278,150,0.010919438952771171,0.46598066658829485,0.3289222577059032,0.5666666666666667
1,0.023093164808932864,150,0.016950930655883066,0.4019550931056514,0.30423085298150976,0.4166666666666667
0,0.8344957997478795,150,0.011821997664641587,0.4479022780890245,0.3018578127478651,0.38333333333333336
3,0.02908442372800235,200,0.009542305154444104,0.5253107992925606,0.3801837719028825,0.7166666666666667
2,0.2814307910701278,200,0.008926269168893488,0.4944369314230446,0.34363185055118156,0.6333333333333333
0,0.8344957997478795,200,0.009335417125198281,0.45606428759544776,0.30682115028725815,0.43333333333333335
1,0.023093164808932864,200,0.015099046116092208,0.4578426436395432,0.3458407705660687,0.5166666666666667
0,0.8344957997478795,250,0.009233088237474648,0.47846699063378534,0.318420005009926,0.4666666666666667
2,0.2814307910701278,250,0.008324263251503546,0.49870776690136476,0.34774714082637037,0.6666666666666666
3,0.02908442372800235,250,0.013010453460463794,0.5320219965682056,0.38339040411324965,0.7333333333333333
1,0.023093164808932864,250,0.011633709084338773,0.48061899289527693,0.34396279674945573,0.5333333333333333
0,0.8344957997478795,300,0.007719027251160842,0.4514382625033748,0.3024188436906066,0.5166666666666667
2,0.2814307910701278,300,0.006411707056851011,0.5076786127072869,0.3507105391052971,0.6833333333333333
3,0.02908442372800235,300,0.013735293184790123,0.5011684211645081,0.362033042793421,0.7333333333333333
1,0.023093164808932864,300,0.013186650895665526,0.5059736185029202,0.35274587828538206,0.5666666666666667
0,0.8344957997478795,350,0.005734654614348991,0.4464170483768544,0.3048329135637552,0.55
3,0.02908442372800235,350,0.011457838740436264,0.5097778209227762,0.37741514672012977,0.75
2,0.2814307910701278,350,0.010208013305673424,0.5003987149298956,0.3451982897951666,0.7
1,0.023093164808932864,350,0.010023371387390992,0.5317314628147507,0.3715242350691599,0.6666666666666666
2,0.2814307910701278,400,0.006976011114757665,0.5492330789422976,0.37449473207609335,0.7833333333333333
3,0.02908442372800235,400,0.014683764287361394,0.5079150367315057,0.3696152103220151,0.75
0,0.8344957997478795,400,0.006272838296650135,0.4580723436668221,0.30565848070940393,0.55
1,0.023093164808932864,400,0.009915997422092567,0.4908685191411765,0.36688578962145996,0.8
3,0.02908442372800235,450,0.011838819596768644,0.5058858938069005,0.363755504696971,0.75
2,0.2814307910701278,450,0.00868487555275939,0.5244884700018471,0.3637892765831194,0.8166666666666667
1,0.023093164808932864,450,0.010955868479760423,0.45592088403442327,0.32863953213265074,0.8166666666666667
