id_exp,seed,nb_fake_news,step,polarisation,mean_intention,rate_adoption
2,0.7297358943058747,0,0,0.05456197683761591,0.31757152748031914,0.0
0,0.08076650148109643,0,0,0.05676760841325962,0.2826280706824299,0.0
3,0.5980362297411037,0,0,0.05426516627407576,0.3107244508573993,0.0
1,0.6357464235186797,0,0,0.04940980885150046,0.29348809814644444,0.0
3,0.5980362297411037,0,50,0.013285931248336377,0.47796703862371553,0.48333333333333334
2,0.7297358943058747,0,50,0.013078116311836896,0.4871971910992326,0.43333333333333335
0,0.08076650148109643,0,50,0.011180616896905988,0.5281707925259534,0.5
1,0.6357464235186797,0,50,0.011182795827063528,0.44558223474116565,0.3333333333333333
3,0.5980362297411037,0,100,0.01126647521475726,0.4472369081098888,0.5166666666666667
1,0.6357464235186797,0,100,0.010093005460573031,0.4196037723037395,0.5
0,0.08076650148109643,0,100,0.006410167515396212,0.5898993947600827,0.8166666666666667
2,0.7297358943058747,0,100,0.01206888925172065,0.5442662168336874,0.7333333333333333
3,0.5980362297411037,0,150,0.01270808267689325,0.5323645689647941,0.6
2,0.7297358943058747,0,150,0.010493616118298433,0.5276317700334644,0.7666666666666667
0,0.08076650148109643,0,150,0.0070607396246619505,0.616376623267217,0.9
1,0.6357464235186797,0,150,0.007018712575160966,0.4938673617039941,0.5666666666666667
3,0.5980362297411037,0,200,0.01215520783871447,0.548118920592617,0.7
1,0.6357464235186797,0,200,0.008300631813652084,0.48153309150749446,0.6166666666666667
0,0.08076650148109643,0,200,0.006511699362628072,0.5650294727173796,0.9166666666666666
2,0.7297358943058747,0,200,0.00791544629253541,0.5920168576860443,0.7833333333333333
0,0.08076650148109643,0,250,0.008724600634653584,0.5941408435147733,0.9166666666666666
3,0.5980362297411037,0,250,0.013418235529080213,0.5413140852600794,0.7333333333333333
2,0.7297358943058747,0,250,0.013563941044277482,0.556452667248649,0.8333333333333334
1,0.6357464235186797,0,250,0.009000632435256763,0.4939772125917423,0.6333333333333333
2,0.7297358943058747,0,300,0.013435362770102334,0.5141444882625459,0.8333333333333334
0,0.08076650148109643,0,300,0.008802404692371884,0.603819264318349,0.9666666666666667
1,0.6357464235186797,0,300,0.007933916780647164,0.5023600512352732,0.7
3,0.5980362297411037,0,300,0.008869756435961999,0.541637185839971,0.75
2,0.7297358943058747,0,350,0.00949032088226194,0.5483486834529406,0.8333333333333334
3,0.5980362297411037,0,350,0.009043864084343059,0.5383318153989407,0.7833333333333333
0,0.08076650148109643,0,350,0.01163491652744162,0.6304580097290968,0.9666666666666667
1,0.6357464235186797,0,350,0.01299828035175567,0.5202170842558923,0.7166666666666667
2,0.7297358943058747,0,400,0.012853697179780377,0.5086574447224245,0.8333333333333334
3,0.5980362297411037,0,400,0.014506835042118952,0.537983889167948,0.7833333333333333
1,0.6357464235186797,0,400,0.011274026463154759,0.5054241434117575,0.7166666666666667
0,0.08076650148109643,0,400,0.007547110683909353,0.6916290738859818,0.9666666666666667
3,0.5980362297411037,0,450,0.016679243467028267,0.5472692804040474,0.7833333333333333
2,0.7297358943058747,0,450,0.015845630926421647,0.5207540921006906,0.85
0,0.08076650148109643,0,450,0.010393670895857118,0.651380025966432,0.9666666666666667
1,0.6357464235186797,0,450,0.009496488650090004,0.4799134264163988,0.7666666666666667
1,0.6357464235186797,0,500,0.005652749328959418,0.4887270499356393,0.8
3,0.5980362297411037,0,500,0.016638272705551335,0.5106924488729633,0.7833333333333333
2,0.7297358943058747,0,500,0.010940546270589236,0.4770620593929483,0.85
0,0.08076650148109643,0,500,0.013180037740675209,0.6453800181853241,0.9666666666666667
3,0.5980362297411037,0,550,0.01573871642997839,0.5130015731908771,0.7833333333333333
0,0.08076650148109643,0,550,0.01056758843167692,0.6485172033881932,0.9666666666666667
1,0.6357464235186797,0,550,0.009444936263876061,0.46901352343240726,0.8166666666666667
2,0.7297358943058747,0,550,0.006590048662972926,0.5102181282686927,0.85
1,0.6357464235186797,0,600,0.014475096180452,0.4670860789245361,0.8166666666666667
0,0.08076650148109643,0,600,0.008903949045396507,0.6668117445525874,0.9666666666666667
3,0.5980362297411037,0,600,0.009598616945259954,0.5044916414579513,0.7833333333333333
2,0.7297358943058747,0,600,0.009474663425575725,0.5708494945275812,0.85
0,0.08076650148109643,0,650,0.010105428223156644,0.6383338595946001,1.0
1,0.6357464235186797,0,650,0.009465844012747308,0.48335655213917855,0.8166666666666667
2,0.7297358943058747,0,650,0.0062381825102376855,0.5950679356658692,0.8666666666666667
3,0.5980362297411037,0,650,0.011473586284325925,0.4903310898417745,0.8
3,0.5980362297411037,0,700,0.01324711279061839,0.49935074827827675,0.8
1,0.6357464235186797,0,700,0.00840249702939683,0.48265131929481675,0.8333333333333334
